bbl,parent_property_id,gross_floor_area,first_area_type,year_built,metered_area_energy,metered_area_water,eui_kbtu_sf,steam_kbtu,natural_gas_kbtu,electricity_kbtu,total_ghg_mmco2e,direct_ghg_mmco2e,indirect_ghg_mmco2e,water_kgal,wui_gal_sf,year,occupancy,street_number,street_name
2024560140,,130500.0,Multifamily Housing,1937.0,Whole Building,Whole Building,110.2,,838553.0,1914182.0,1078.3,919.6,158.8,11337.2,86.88,2016,100.0,1150,GRAND CONCOURSE     
2024560150,,86500.0,Multifamily Housing,1938.0,Whole Building,Whole Building,103.0,,574341.0,1054896.7,658.4,570.9,87.5,8546.0,98.8,2016,100.0,1166,GRAND CONCOURSE     
2024560163,,117080.0,Multifamily Housing,1938.0,Whole Building,Whole Building,84.2,,7033299.7,1843063.5,755.5,602.6,152.9,843.4,5.96,2016,100.0,1188,GRAND CONCOURSE     
2024560175,,72276.0,Multifamily Housing,1936.0,Whole Building,Whole Building,92.8,,3205559.8,1030530.6,439.7,354.2,85.5,,,2016,100.0,1181,SHERIDAN AVENUE     
2024560181,,123000.0,Multifamily Housing,1936.0,Whole Building,Whole Building,86.0,,7061559.8,1950061.8,639.0,477.3,161.7,10517.3,87.27,2016,100.0,185,MC CLELLAN STREET   
2024570001,,68782.0,Multifamily Housing,1937.0,Common areas only,,84.4,,5325003.3,231953.9,302.1,282.8,19.2,,,2016,100.0,1212,GRAND CONCOURSE     
2024570040,,53934.0,Multifamily Housing,1930.0,Whole Building,Whole Building,104.5,,192200.0,1107487.5,439.0,347.1,91.8,7925.1,143.35,2016,100.0,1268,GRAND CONCOURSE     
2024570052,,59800.0,Multifamily Housing,1923.0,Whole Building,,96.4,,4359976.1,1407220.4,348.3,231.6,116.7,,,2016,100.0,1267,SHERIDAN AVENUE     
2024580016,,69120.0,Multifamily Housing,1939.0,Whole Building,Whole Building,112.7,,484129.0,1150988.6,584.6,489.2,95.5,8629.2,124.84,2016,100.0,730,GRAND CONCOURSE     
2024580025,,69120.0,Multifamily Housing,1939.0,Whole Building,,226.2,,7672319.2,2358374.4,1024.9,829.3,195.6,,,2016,100.0,740,GRAND CONCOURSE     
2024580026,,123000.0,Multifamily Housing,1937.0,Whole Building,,95.6,,,,916.6,916.6,0.0,,,2016,100.0,750,GRAND CONCOURSE     
2024580072,,126760.0,Multifamily Housing,1927.0,Whole Building,Whole Building,42.0,,3082604.3,2242818.4,349.7,163.7,186.0,,,2016,100.0,760,GRAND CONCOURSE     
2024580080,,92950.0,Multifamily Housing,1927.0,Whole Building,Whole Building,102.2,,455267.0,1217369.8,705.8,604.8,101.0,8042.1,86.52,2016,100.0,774,GRAND CONCOURSE     
2024580085,,92950.0,Multifamily Housing,1926.0,Whole Building,Whole Building,216.2,,10317450.0,3171440.4,1308.3,1045.2,263.0,9462.3,101.8,2016,100.0,792,GRAND CONCOURSE     
2024580090,,252105.0,Multifamily Housing,1954.0,Whole Building,Whole Building,91.7,,802100.0,3697697.1,2041.4,1734.7,306.7,14863.0,50.53,2016,100.0,800,GRAND CONCOURSE     
2024590001,,207300.0,Multifamily Housing,1927.0,Whole Building,Whole Building,97.3,,2003100.0,4310256.6,1759.4,1401.9,357.5,,,2016,100.0,840,GRAND CONCOURSE     
2024590030,,115140.0,Multifamily Housing,1941.0,Whole Building,,120.8,,338206.9,1401452.8,827.7,711.4,116.2,4192.1,46.24,2016,100.0,860,GRAND CONCOURSE     
2024600001,,276550.0,Multifamily Housing,1923.0,,,21.3,,1512940.0,4968213.8,492.4,80.4,412.0,,,2016,100.0,900,GRAND CONCOURSE     
2024610007,,135870.0,Multifamily Housing,1948.0,Whole Building,,97.1,,312415.5,1844175.5,955.6,802.7,152.9,7609.2,57.92,2016,100.0,930,GRAND CONCOURSE     
2024610016,,68846.0,Multifamily Housing,1941.0,Whole Building,,142.0,,3075300.1,1103976.5,713.0,621.5,91.6,,,2016,100.0,180,EAST  163 STREET    
2024610022,,101020.0,Multifamily Housing,1941.0,Whole Building,Whole Building,82.8,,6568508.9,1812461.4,499.2,348.9,150.3,,,2016,100.0,917,SHERIDAN AVENUE     
2024610035,,77050.0,Multifamily Housing,1938.0,Whole Building,,96.6,,5684453.9,1131172.2,395.7,301.9,93.8,,,2016,100.0,909,SHERIDAN AVENUE     
2024610040,,71868.0,Multifamily Housing,1930.0,Whole Building,,111.0,,381973.3,813675.4,592.0,524.5,67.5,,,2016,100.0,185,EAST  162 STREET    
2024610045,,145728.0,Multifamily Housing,1929.0,Whole Building,Whole Building,108.9,,6029900.0,2288322.7,1070.4,880.6,189.8,,,2016,100.0,940,GRAND CONCOURSE     
2024610058,,96126.0,Multifamily Housing,1927.0,Whole Building,Whole Building,94.6,,3481599.9,1691000.9,616.3,476.1,140.2,7589.0,78.95,2016,100.0,960,GRAND CONCOURSE     
2024610070,,66600.0,Multifamily Housing,1949.0,Whole Building,,106.2,,6734360.1,1115249.5,450.2,357.7,92.5,,,2016,100.0,186,EAST  164 STREET    
2024610074,,92180.0,Multifamily Housing,1940.0,Whole Building,Whole Building,84.6,,514600.0,1277548.3,579.2,473.2,106.0,5519.4,59.88,2016,100.0,955,SHERIDAN AVENUE     
2024610090,,131600.0,Multifamily Housing,1935.0,Whole Building,,118.8,,462600.0,1974039.9,1167.2,1003.5,163.7,,,2016,100.0,1000,GRAND CONCOURSE     
2024610094,,428360.0,Multifamily Housing,1961.0,Whole Building,Whole Building,125.4,,32154364.9,10188505.1,2552.8,1707.9,845.0,,,2016,100.0,1020,GRAND CONCOURSE     
2024610130,,150948.0,Multifamily Housing,1929.0,Whole Building,Whole Building,79.4,,11468581.0,2229909.2,794.1,609.2,184.9,,,2016,95.0,1011,SHERIDAN AVENUE     
2024620010,,92065.0,Senior Care Community,1920.0,Whole Building,Whole Building,156.9,,,6250056.5,1126.8,608.4,518.3,6374.0,69.23,2016,100.0,1072,GRAND CONCOURSE     
2024620033,,107841.0,Multifamily Housing,1928.0,Whole Building,,81.7,,,1379768.4,674.1,559.7,114.4,,,2016,100.0,1100,GRAND CONCOURSE     
2024630001,,57500.0,Multifamily Housing,1922.0,Whole Building,,91.0,,4730800.0,1023801.4,336.2,251.3,84.9,,,2016,100.0,1170,WALTON AVENUE       
2024630006,,57500.0,Multifamily Housing,1922.0,Whole Building,,85.8,,4512300.0,913058.1,315.4,239.7,75.7,,,2016,100.0,1176,WALTON AVENUE       
2024630011,,57240.0,Multifamily Housing,1922.0,Whole Building,,78.1,,4455700.2,907353.1,311.9,236.7,75.3,5222.9,76.04,2016,100.0,112,TUDOR PLACE         
2024630021,,59300.0,Multifamily Housing,1922.0,Whole Building,Whole Building,100.3,,2044389.9,899943.0,409.3,334.6,74.6,9840.1,165.97,2016,100.0,1153,GRAND CONCOURSE     
2024630034,,59459.0,Multifamily Housing,1921.0,Whole Building,,82.5,,4273300.0,294015.5,276.4,252.0,24.4,,,2016,100.0,1192,WALTON AVENUE       
2024630053,,68200.0,Multifamily Housing,1922.0,Whole Building,Whole Building,103.6,,439200.0,961249.1,523.2,443.5,79.7,,,2016,100.0,1185,GRAND CONCOURSE     
2024640023,,181700.0,Multifamily Housing,1929.0,Whole Building,,102.9,,675500.0,2537934.3,1394.9,1184.5,210.5,,,2016,100.0,1235,GRAND CONCOURSE     
2024650001,,91617.0,Multifamily Housing,1936.0,Whole Building,Whole Building,75.4,,5212163.7,249493.6,406.1,385.4,20.7,,,2016,100.0,111,EAST  167 STREET    
2024650025,,171044.0,Multifamily Housing,1928.0,Whole Building,,86.1,,12250163.4,2480102.3,856.4,650.7,205.7,,,2016,100.0,1240,WALTON AVENUE       
2024650034,,70000.0,Multifamily Housing,1910.0,Whole Building,,2.0,,23656.3,116248.1,10.9,1.3,9.6,,,2016,95.0,114,EAST  168 STREET    
2024650038,,51000.0,Multifamily Housing,1938.0,Whole Building,,21.2,,331151.6,751193.1,79.9,17.6,62.3,65.3,1.28,2016,100.0,1245,GRANDVIEW PLACE     
2024660032,,56925.0,Multifamily Housing,1928.0,Whole Building,,119.5,,508806.7,1296058.9,567.6,460.1,107.5,,,2016,100.0,1269,GRAND CONCOURSE     
2024710001,,84920.0,K-12 School,1931.0,Whole Building,Whole Building,53.6,,145495.0,777354.1,341.3,276.8,64.5,723.4,,2016,100.0,1000,WALTON AVENUE       
2024710036,,75000.0,Multifamily Housing,1941.0,Whole Building,,90.8,,375900.0,947611.3,505.9,427.3,78.6,8285.4,110.47,2016,100.0,1015,GRAND CONCOURSE     
2024710050,,92417.0,Multifamily Housing,1941.0,Whole Building,,109.4,,389500.0,1936790.2,758.6,598.0,160.6,,,2016,100.0,1001,GRAND CONCOURSE     
2024720011,,118218.0,Multifamily Housing,1928.0,Whole Building,,241.4,,13122198.1,4033611.9,1888.7,1554.2,334.5,,,2016,100.0,1075,GRAND CONCOURSE     
2024720034,,117200.0,Office,1922.0,Whole Building,,10.6,,61360.0,1197906.3,102.6,3.3,99.3,,,2016,100.0,1125,GRAND CONCOURSE     
2024730001,,98438.0,Multifamily Housing,1936.0,Whole Building,Whole Building,78.2,,5581179.8,1322549.0,465.0,355.3,109.7,,,2016,100.0,690,GERARD AVENUE       
2024730033,,141508.0,Multifamily Housing,1927.0,Whole Building,Whole Building,131.9,,16504927.3,2166110.6,1056.3,876.7,179.6,,,2016,100.0,751,WALTON AVENUE       
2024730043,,106512.0,Multifamily Housing,1928.0,Whole Building,,107.7,,9466293.2,2006591.5,669.2,502.8,166.4,,,2016,100.0,735,WALTON AVENUE       
2024730048,,112854.0,Multifamily Housing,1928.0,Whole Building,Whole Building,116.1,,11345760.0,1761150.6,748.7,602.6,146.1,12588.9,111.55,2016,100.0,721,WALTON AVENUE       
2024730055,,108600.0,Multifamily Housing,1937.0,Whole Building,,122.9,,11911820.3,1432167.9,751.5,632.7,118.8,,,2016,100.0,695,WALTON AVENUE       
2024730067,,119500.0,Multifamily Housing,1936.0,Whole Building,,79.4,,343000.0,1298088.6,719.4,611.7,107.7,4720.8,39.34,2016,100.0,660,WALTON AVENUE       
2024740001,,150640.0,Multifamily Housing,1946.0,Whole Building,Whole Building,103.3,,,1721391.1,918.6,775.8,142.8,8140.1,69.08,2016,100.0,811,WALTON AVENUE       
2024740028,,84000.0,Multifamily Housing,1926.0,Whole Building,Whole Building,103.0,,432200.0,1012531.5,713.8,629.8,84.0,1119.2,12.11,2016,100.0,835,WALTON AVENUE       
2024760044,,107500.0,Multifamily Housing,1927.0,Whole Building,Whole Building,91.4,,8287574.1,1531986.4,567.2,440.2,127.1,12802.7,119.11,2016,100.0,955,WALTON AVENUE       
2024760047,,105356.0,Multifamily Housing,1926.0,Whole Building,Whole Building,65.8,,6763170.8,1325700.2,469.2,359.2,109.9,,,2016,100.0,923,WALTON AVENUE       
2024760050,,90744.0,Multifamily Housing,1925.0,Whole Building,Whole Building,76.6,,6787650.7,1318687.4,469.9,360.5,109.4,,,2016,100.0,911,WALTON AVENUE       
2024760091,,105356.0,Multifamily Housing,1927.0,Whole Building,Whole Building,54.1,,5544902.1,159117.5,307.7,294.5,13.2,,,2016,100.0,901,WALTON AVENUE       
2024770001,,83793.0,Multifamily Housing,1927.0,Whole Building,,98.1,,572208.8,1201642.7,683.9,584.2,99.7,,,2016,100.0,1006,GERARD AVENUE       
2024770007,,61200.0,Multifamily Housing,1929.0,Whole Building,,95.0,,5111699.9,993052.3,353.9,271.5,82.4,6812.9,106.02,2016,100.0,1014,GERARD AVENUE       
2024770021,,76822.0,Multifamily Housing,1927.0,Whole Building,,77.2,,5178265.9,1679851.2,414.4,275.0,139.3,,,2016,100.0,1027,WALTON AVENUE       
2024770034,,70961.0,Multifamily Housing,1926.0,Whole Building,Whole Building,73.9,,4386011.2,1066351.7,321.4,233.0,88.4,,,2016,100.0,1005,WALTON AVENUE       
2024780007,,90175.0,Multifamily Housing,2007.0,Whole Building,Whole Building,64.7,,5316995.6,181415.9,297.5,282.4,15.0,6178.9,72.69,2016,95.0,1068,GERARD AVENUE       
2024780030,,124805.0,Multifamily Housing,1964.0,Whole Building,Whole Building,53.5,,921669.5,1496167.8,494.3,370.3,124.1,7490.4,60.02,2016,100.0,80,MC CLELLAN STREET   
2024780040,,66750.0,Multifamily Housing,1925.0,Whole Building,,96.2,,5544600.1,876474.6,367.2,294.5,72.7,9501.2,142.34,2016,100.0,1113,WALTON AVENUE       
2024780046,,54275.0,Multifamily Housing,1925.0,Whole Building,Whole Building,20.0,,341081.2,746399.0,80.0,18.1,61.9,,,2016,100.0,1097,WALTON AVENUE       
2024780052,,55000.0,Multifamily Housing,1925.0,Whole Building,,117.8,,5552399.8,925576.6,371.7,294.9,76.8,1082.0,19.67,2016,100.0,1083,WALTON AVENUE       
2024780064,,53815.0,Multifamily Housing,1938.0,Whole Building,Whole Building,144.5,,847095.3,1390464.8,548.9,433.5,115.3,,,2016,100.0,1055,WALTON AVENUE       
2024790001,,56400.0,Multifamily Housing,1940.0,Whole Building,,121.2,,401093.3,1068102.5,518.4,429.8,88.6,,,2016,100.0,85,MC CLELLAN STREET   
2024790015,,55000.0,Multifamily Housing,1933.0,Whole Building,Whole Building,91.6,,4595438.9,1282100.6,350.4,244.1,106.3,7607.5,118.55,2016,100.0,1180,GERARD AVENUE       
2024790029,,54684.0,Multifamily Housing,1992.0,,,91.7,,4804109.8,927340.2,332.1,255.2,76.9,,,2016,100.0,1181,WALTON AVENUE       
2024790036,,50830.0,Multifamily Housing,1926.0,Whole Building,Whole Building,139.4,,6028535.7,1057316.5,407.9,320.2,87.7,9022.3,177.5,2016,100.0,1177,WALTON AVENUE       
2024790042,,52800.0,Multifamily Housing,1940.0,Whole Building,Whole Building,95.0,,4974000.1,880169.8,337.2,264.2,73.0,7955.6,129.15,2016,100.0,1155,WALTON AVENUE       
2024800001,,197119.0,Multifamily Housing,1927.0,Whole Building,Whole Building,66.8,,8875364.0,4096620.9,811.2,471.4,339.8,12590.5,64.8,2016,100.0,50,EAST  168 STREET    
2024810001,,117000.0,Multifamily Housing,1927.0,Whole Building,,72.3,,6963838.6,358113.3,485.4,455.7,29.7,,,2016,100.0,1270,GERARD AVENUE       
2024810011,,58882.0,Multifamily Housing,1950.0,Whole Building,Whole Building,105.0,,4446653.8,957539.3,315.6,236.2,79.4,,,2016,100.0,16,EAST  169 STREET    
2024810028,,71850.0,Multifamily Housing,1926.0,Whole Building,,92.9,,5702489.2,974852.3,383.7,302.9,80.8,6742.9,93.86,2016,100.0,1265,WALTON AVENUE       
2024820001,,66678.0,Multifamily Housing,1931.0,Whole Building,,34.5,,,2532826.6,210.1,0.0,210.1,7790.2,106.21,2016,100.0,109,EAST  153 STREET    
