bbl,street_number,street_name,first_area_type,year,year_built,gross_floor_area,eui_kbtu_sf,steam_kbtu_sf,natural_gas_kbtu_sf,electricity_kbtu_sf,total_ghg_mmco2e_sf,direct_ghg_mmco2e_sf,indirect_ghg_mmco2e_sf
1019610057,74,MORNINGSIDE DRIVE,Residence Hall/Dormitory,2017,1980,365100,0,,0,,0,0,0
1019610057,74,MORNINGSIDE DRIVE   ,Residence Hall/Dormitory,2016,1980,365100,0,,0,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1977,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1988,1368870,4377.4,,561.3776246101,91.1968017416,0.0382804795,0.0298174407,0.0084630389
1019730001,530,WEST 120 STREET,Office,2017,1950,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1897,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1987,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1924,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1911,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1927,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1974,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1987,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1897,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1964,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1897,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1930,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1964,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,College/University,2017,1950,1368870,0.3,,0.0642135484,,3.4334889361298E-06,3.4334889361298E-06,0
1019730001,530,WEST 120 STREET,Other,2017,1950,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1950,1368870,,,,,0,0,0
